Time,Price,%,SD
12/03 09:25,"1,495.72",0.08,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
1160,1390,1250,1320,1500,1440,1300,1500,1622
734,890,790,850,1510,1990,1800,2010,2206
440,550,490,540,1520,2650,2490,2720,2908
260,330,290,320,1530,3440,3230,3490,3748
146,190,165,185,1540,4310,4100,4380,4608
Time,Price,%,SD
12/03 11:47,"1,498.85",0.29,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5160,1450,300,260,310,360
3959,4380,4220,4300,1460,410,360,420,478
3156,3580,3370,3420,1470,540,480,570,641
2405,2760,2550,2620,1480,740,660,770,864
1718,2010,1840,1900,1490,1050,920,1080,1184
1160,1390,1250,1320,1500,1450,1300,1500,1622
734,890,790,850,1510,1980,1800,2010,2206
440,550,490,520,1520,2640,2490,2720,2908
260,330,290,310,1530,3440,3230,3490,3748
146,190,165,185,1540,4300,4100,4380,4608
Time,Price,%,SD
12/03 11:49,"1,498.85",0.29,10.57
