Time,Price,%,SD
06/03 09:26,"1,472.93",-0.26,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
1837,2220,2100,2130,1480,1540,1480,1800,2116
1320,1670,1510,1560,1490,1950,1880,2140,2589
910,1150,1030,1070,1500,2460,2390,2670,3179
579,780,670,690,1510,3130,3000,3300,3843
350,500,410,420,1520,3860,3730,4040,4661
203,270,240,250,1530,4690,4550,4770,5510
Time,Price,%,SD
06/03 11:07,"1,485.48",0.59,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5210,1440,610,580,800,944
3821,4460,4340,4350,1450,750,730,890,1153
3100,3650,3480,3490,1460,960,930,1100,1408
2433,2890,2750,2830,1470,1210,1180,1410,1733
1837,2220,2100,2150,1480,1530,1480,1800,2116
1320,1670,1510,1570,1490,1940,1880,2140,2589
910,1150,1030,1080,1500,2460,2390,2670,3179
579,780,670,700,1510,3080,3000,3300,3843
350,500,410,420,1520,3800,3730,4040,4661
203,270,240,250,1530,4610,4550,4770,5510
Time,Price,%,SD
06/03 11:11,"1,484.89",0.55,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5210,1440,610,580,800,944
3821,4460,4340,4350,1450,750,730,890,1153
3100,3650,3480,3490,1460,960,930,1100,1408
2433,2890,2750,2830,1470,1210,1180,1410,1733
1837,2220,2100,2150,1480,1530,1480,1800,2116
1320,1670,1510,1570,1490,1940,1880,2140,2589
910,1150,1030,1080,1500,2460,2390,2670,3179
579,780,670,700,1510,3080,3000,3300,3843
350,500,410,420,1520,3800,3730,4040,4661
203,270,240,250,1530,4610,4550,4770,5510
Time,Price,%,SD
06/03 11:13,"1,484.89",0.55,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5210,1440,600,580,800,944
3821,4460,4340,4350,1450,750,730,890,1153
3100,3650,3480,3490,1460,950,930,1100,1408
2433,2890,2750,2860,1470,1210,1180,1410,1733
1837,2220,2100,2180,1480,1520,1480,1800,2116
1320,1670,1510,1580,1490,1930,1880,2140,2589
910,1150,1030,1080,1500,2430,2390,2670,3179
579,780,670,710,1510,3050,3000,3300,3843
350,500,410,430,1520,3770,3730,4040,4661
203,270,240,250,1530,4590,4550,4770,5510
Time,Price,%,SD
06/03 11:15,"1,484.89",0.55,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5210,1440,600,580,800,944
3821,4460,4340,4350,1450,750,730,890,1153
3100,3650,3480,3490,1460,950,930,1100,1408
2433,2890,2750,2860,1470,1210,1180,1410,1733
1837,2220,2100,2180,1480,1520,1480,1800,2116
1320,1670,1510,1580,1490,1930,1880,2140,2589
910,1150,1030,1080,1500,2430,2390,2670,3179
579,780,670,710,1510,3050,3000,3300,3843
350,500,410,430,1520,3770,3730,4040,4661
203,270,240,250,1530,4590,4550,4770,5510
Time,Price,%,SD
06/03 11:17,"1,485.97",0.62,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
